AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
8,2005,0,2,6000,5395
9,2005,1,2,6000,5378
10,2005,0,2,6000,4714
11,2005,1,2,5000,3985
12,2005,3,2,4000,2696
13,2005,2,2,4000,1843
14,2005,6,2,3000,1362
15,2005,4,2,2000,1046
16,2005,4,2,1000,789
17,2005,4,2,1000,683
1,2006,0,2,12000,6742
2,2006,0,2,10000,6748
3,2006,0,2,9000,7194
4,2006,0,2,9000,6480
5,2006,0,2,8000,5357
6,2006,0,2,8000,6028
7,2006,0,2,6000,6211
8,2006,0,2,6000,5468
9,2006,4,2,6000,5358
10,2006,2,2,6000,4800
11,2006,0,2,5000,4144
12,2006,4,2,4000,2893
13,2006,6,2,4000,1919
14,2006,3,2,3000,1417
15,2006,6,2,2000,1059
16,2006,3,2,1000,827
17,2006,7,2,1000,748
1,2007,0,2,12000,6759
2,2007,0,2,10000,6655
3,2007,0,2,9000,7092
4,2007,0,2,9000,6608
5,2007,0,2,8000,5414
6,2007,0,2,8000,6031
7,2007,0,2,6000,6336
8,2007,0,2,6000,5592
9,2007,0,2,6000,5298
10,2007,0,2,6000,4905
11,2007,5,2,5000,4277
12,2007,3,2,4000,3098
13,2007,4,2,4000,2016
14,2007,2,2,3000,1468
15,2007,2,2,2000,1077
16,2007,1,2,1000,854
17,2007,9,2,1000,818
1,2008,0,2,12000,6835
2,2008,0,2,10000,6575
3,2008,0,2,9000,6976
4,2008,0,2,9000,6673
5,2008,0,2,8000,5507
6,2008,0,2,8000,6064
7,2008,0,2,6000,6408
8,2008,0,2,6000,5763
9,2008,0,2,6000,5236
10,2008,1,2,6000,5023
11,2008,1,2,5000,4377
12,2008,1,2,4000,3309
13,2008,4,2,4000,2122
14,2008,6,2,3000,1522
15,2008,3,2,2000,1107
16,2008,6,2,1000,867
17,2008,3,2,1000,892
1,2009,0,2,12000,6953
2,2009,0,2,10000,6483
3,2009,0,2,9000,6843
4,2009,0,2,9000,6685
5,2009,0,2,8000,5635
6,2009,0,2,8000,6112
7,2009,0,2,6000,6418
8,2009,0,2,6000,5966
9,2009,0,2,6000,5208
10,2009,2,2,6000,5119
11,2009,4,2,5000,4463
12,2009,2,2,4000,3521
13,2009,3,2,4000,2231
14,2009,5,2,3000,1573
15,2009,2,2,2000,1144
16,2009,6,2,1000,871
17,2009,7,2,1000,968
1,2010,0,2,12000,7107
2,2010,0,2,10000,6398
3,2010,0,2,9000,6715
4,2010,0,2,9000,6636
5,2010,0,2,8000,5794
6,2010,0,2,8000,6155
7,2010,0,2,6000,6413
8,2010,0,2,6000,6152
9,2010,0,2,6000,5231
10,2010,0,2,6000,5167
11,2010,1,2,5000,4548
12,2010,0,2,4000,3716
13,2010,5,2,4000,2359
14,2010,2,2,3000,1632
15,2010,0,2,2000,1187
16,2010,3,2,1000,874
17,2010,6,2,1000,1041
1,2011,0,2,12000,7235
2,2011,0,2,10000,6330
3,2011,0,2,9000,6602
4,2011,0,2,9000,6554
5,2011,0,2,8000,5971
6,2011,0,2,8000,6218
7,2011,0,2,6000,6429
8,2011,1,2,6000,6311
9,2011,0,2,6000,5323
10,2011,0,2,6000,5161
11,2011,3,2,5000,4656
12,2011,1,2,4000,3856
13,2011,1,2,4000,2537
14,2011,4,2,3000,1696
15,2011,6,2,2000,1233
16,2011,5,2,1000,880
17,2011,6,2,1000,1109
1,2012,0,2,12000,7265
2,2012,0,2,10000,6334
3,2012,0,2,9000,6504
4,2012,0,2,9000,6447
5,2012,0,2,8000,6115
6,2012,0,2,8000,6315
7,2012,0,2,6000,6475
8,2012,0,2,6000,6434
9,2012,1,2,6000,5465
10,2012,1,2,6000,5117
11,2012,1,2,5000,4781
12,2012,4,2,4000,3969
13,2012,1,2,4000,2723
14,2012,1,2,3000,1779
15,2012,7,2,2000,1275
16,2012,6,2,1000,890
17,2012,4,2,1000,1169
1,2013,0,2,12000,7251
2,2013,0,2,10000,6395
3,2013,0,2,9000,6412
4,2013,0,2,9000,6328
5,2013,0,2,8000,6229
6,2013,0,2,8000,6499
7,2013,0,2,6000,6579
8,2013,0,2,6000,6516
9,2013,0,2,6000,5659
10,2013,0,2,6000,5071
11,2013,1,2,5000,4919
12,2013,1,2,4000,4052
13,2013,1,2,4000,2915
14,2013,2,2,3000,1871
15,2013,1,2,2000,1319
16,2013,3,2,1000,912
17,2013,3,2,1000,1220
1,2014,0,2,12000,7199
2,2014,0,2,10000,6502
3,2014,0,2,9000,6322
4,2014,0,2,9000,6204
5,2014,0,2,8000,6319
6,2014,1,2,8000,6762
7,2014,0,2,6000,6728
8,2014,0,2,6000,6561
9,2014,0,2,6000,5898
10,2014,0,2,6000,5061
11,2014,2,2,5000,5040
12,2014,3,2,4000,4130
13,2014,5,2,4000,3114
14,2014,2,2,3000,1964
15,2014,3,2,2000,1364
16,2014,6,2,1000,936
17,2014,6,2,1000,1266
1,2015,0,2,12000,7144
2,2015,0,2,10000,6625
3,2015,0,2,9000,6237
4,2015,0,2,9000,6090
5,2015,0,2,8000,6332
6,2015,0,2,8000,7031
