AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
6,2011,0,1,8000,24502
7,2011,0,1,6000,24027
8,2011,0,1,6000,23443
9,2011,0,1,6000,20097
10,2011,5,1,6000,19382
11,2011,8,1,5000,17202
12,2011,15,1,4000,14702
13,2011,26,1,4000,9828
14,2011,22,1,3000,6169
15,2011,22,1,2000,4171
16,2011,15,1,1000,2812
17,2011,15,1,1000,2887
1,2012,0,1,12000,25130
2,2012,0,1,10000,22300
3,2012,0,1,9000,22651
4,2012,0,1,9000,24712
5,2012,0,1,8000,26139
6,2012,0,1,8000,24841
7,2012,1,1,6000,24201
8,2012,1,1,6000,23846
9,2012,2,1,6000,20635
10,2012,1,1,6000,19314
11,2012,4,1,5000,17560
12,2012,10,1,4000,15099
13,2012,25,1,4000,10544
14,2012,26,1,3000,6486
15,2012,15,1,2000,4276
16,2012,14,1,1000,2813
17,2012,13,1,1000,3013
1,2013,0,1,12000,25220
2,2013,0,1,10000,22613
3,2013,0,1,9000,22385
4,2013,0,1,9000,24397
5,2013,0,1,8000,26542
6,2013,0,1,8000,25475
7,2013,1,1,6000,24564
8,2013,0,1,6000,24119
9,2013,0,1,6000,21311
10,2013,1,1,6000,19217
11,2013,5,1,5000,17965
12,2013,12,1,4000,15345
13,2013,34,1,4000,11282
14,2013,28,1,3000,6848
15,2013,15,1,2000,4386
16,2013,18,1,1000,2851
17,2013,12,1,1000,3108
1,2014,0,1,12000,25186
2,2014,0,1,10000,23103
3,2014,0,1,9000,22126
4,2014,0,1,9000,24043
5,2014,0,1,8000,26869
6,2014,0,1,8000,26377
7,2014,0,1,6000,25074
8,2014,0,1,6000,24262
9,2014,0,1,6000,22116
10,2014,3,1,6000,19235
11,2014,1,1,5000,18324
12,2014,5,1,4000,15540
13,2014,25,1,4000,12027
14,2014,31,1,3000,7211
15,2014,19,1,2000,4525
16,2014,16,1,1000,2915
17,2014,16,1,1000,3185
1,2015,0,1,12000,25135
2,2015,0,1,10000,23689
3,2015,0,1,9000,21928
4,2015,0,1,9000,23678
5,2015,0,1,8000,26895
6,2015,0,1,8000,27293
7,2015,0,1,6000,25496
8,2015,0,1,6000,24346
9,2015,2,1,6000,22831
10,2015,3,1,6000,19399
11,2015,3,1,5000,18549
12,2015,13,1,4000,15720
13,2015,18,1,4000,12680
14,2015,18,1,3000,7679
15,2015,27,1,2000,4673
16,2015,16,1,1000,3006
17,2015,15,1,1000,3247
1,2003,0,2,12000,22064
2,2003,0,2,10000,23363
3,2003,0,2,9000,23898
4,2003,2,2,9000,21081
5,2003,0,2,8000,20625
6,2003,1,2,8000,21362
7,2003,1,2,6000,19262
8,2003,1,2,6000,17997
9,2003,4,2,6000,17819
10,2003,3,2,6000,15978
11,2003,2,2,5000,12835
12,2003,2,2,4000,9210
13,2003,3,2,4000,7194
14,2003,6,2,3000,5808
15,2003,8,2,2000,5225
16,2003,4,2,1000,3715
17,2003,5,2,1000,3111
1,2004,0,2,12000,21915
2,2004,0,2,10000,23015
3,2004,0,2,9000,24069
4,2004,0,2,9000,21624
5,2004,0,2,8000,20811
6,2004,0,2,8000,21375
7,2004,0,2,6000,19993
8,2004,0,2,6000,17905
9,2004,1,2,6000,18161
10,2004,4,2,6000,16248
11,2004,2,2,5000,13641
12,2004,4,2,4000,9610
13,2004,8,2,4000,7384
14,2004,10,2,3000,5915
15,2004,9,2,2000,5172
16,2004,4,2,1000,3960
17,2004,9,2,1000,3329
1,2005,0,2,12000,21791
2,2005,0,2,10000,22686
3,2005,0,2,9000,24015
4,2005,0,2,9000,22307
5,2005,0,2,8000,20999
6,2005,0,2,8000,21336
7,2005,1,2,6000,20674
8,2005,0,2,6000,17982
9,2005,0,2,6000,18342
10,2005,1,2,6000,16507
11,2005,6,2,5000,14370
12,2005,1,2,4000,10109
13,2005,5,2,4000,7595
14,2005,7,2,3000,6054
15,2005,8,2,2000,5113
16,2005,7,2,1000,4150
17,2005,7,2,1000,3583
1,2006,0,2,12000,21719
2,2006,0,2,10000,22408
3,2006,0,2,9000,23822
4,2006,0,2,9000,23016
5,2006,0,2,8000,21203
6,2006,0,2,8000,21350
7,2006,0,2,6000,21238
8,2006,0,2,6000,18289
9,2006,0,2,6000,18319
10,2006,7,2,6000,16839
11,2006,1,2,5000,14882
12,2006,2,2,4000,10798
13,2006,12,2,4000,7837
14,2006,8,2,3000,6209
15,2006,11,2,2000,5067
16,2006,9,2,1000,4267
17,2006,5,2,1000,3870
1,2007,0,2,12000,21885
2,2007,0,2,10000,22178
3,2007,0,2,9000,23535
4,2007,0,2,9000,23577
5,2007,0,2,8000,21511
6,2007,0,2,8000,21457
7,2007,0,2,6000,21677
8,2007,0,2,6000,18777
9,2007,3,2,6000,18159
10,2007,2,2,6000,17233
11,2007,4,2,5000,15295
12,2007,8,2,4000,11510
13,2007,4,2,4000,8152
14,2007,8,2,3000,6349
15,2007,7,2,2000,5064
16,2007,8,2,1000,4323
