AGE_GROUP,YEAR_DIAG,n,sex,POB_STANDAR,POB
11,2004,2,2,5000,8317
12,2004,4,2,4000,5883
13,2004,8,2,4000,4706
14,2004,10,2,3000,3855
15,2004,9,2,2000,3475
16,2004,4,2,1000,2732
17,2004,9,2,1000,2261
1,2005,0,2,12000,12307
2,2005,0,2,10000,13120
3,2005,0,2,9000,13764
4,2005,0,2,9000,13531
5,2005,0,2,8000,13515
6,2005,0,2,8000,12988
7,2005,1,2,6000,12264
8,2005,0,2,6000,10510
9,2005,0,2,6000,10906
10,2005,1,2,6000,9849
11,2005,6,2,5000,8748
12,2005,1,2,4000,6182
13,2005,5,2,4000,4823
14,2005,7,2,3000,3929
15,2005,8,2,2000,3415
16,2005,7,2,1000,2850
17,2005,7,2,1000,2426
1,2006,0,2,12000,12318
2,2006,0,2,10000,12984
3,2006,0,2,9000,13683
4,2006,0,2,9000,14000
5,2006,0,2,8000,13684
6,2006,0,2,8000,13011
7,2006,0,2,6000,12613
8,2006,0,2,6000,10724
9,2006,0,2,6000,10927
10,2006,7,2,6000,10077
11,2006,1,2,5000,9043
12,2006,2,2,4000,6600
13,2006,12,2,4000,4961
14,2006,8,2,3000,4018
15,2006,11,2,2000,3366
16,2006,9,2,1000,2912
17,2006,5,2,1000,2612
1,2007,0,2,12000,12459
2,2007,0,2,10000,12873
3,2007,0,2,9000,13548
4,2007,0,2,9000,14389
5,2007,0,2,8000,13919
6,2007,0,2,8000,13092
7,2007,0,2,6000,12881
8,2007,0,2,6000,11049
9,2007,3,2,6000,10864
10,2007,2,2,6000,10337
11,2007,4,2,5000,9281
12,2007,8,2,4000,7030
13,2007,4,2,4000,5142
14,2007,8,2,3000,4096
15,2007,7,2,2000,3347
16,2007,8,2,1000,2936
17,2007,7,2,1000,2812
1,2008,0,2,12000,12718
2,2008,0,2,10000,12780
3,2008,0,2,9000,13388
4,2008,0,2,9000,14642
5,2008,0,2,8000,14255
6,2008,1,2,8000,13243
7,2008,0,2,6000,13046
8,2008,0,2,6000,11472
9,2008,2,2,6000,10786
10,2008,5,2,6000,10627
11,2008,3,2,5000,9446
12,2008,4,2,4000,7477
13,2008,7,2,4000,5350
14,2008,5,2,3000,4174
15,2008,9,2,2000,3359
16,2008,7,2,1000,2919
17,2008,15,2,1000,3018
1,2009,0,2,12000,13058
2,2009,0,2,10000,12672
3,2009,0,2,9000,13191
4,2009,0,2,9000,14776
5,2009,0,2,8000,14680
6,2009,0,2,8000,13407
7,2009,0,2,6000,13087
8,2009,0,2,6000,11953
9,2009,0,2,6000,10771
10,2009,1,2,6000,10866
11,2009,6,2,5000,9586
12,2009,5,2,4000,7938
13,2009,9,2,4000,5562
14,2009,5,2,3000,4259
15,2009,6,2,2000,3399
16,2009,11,2,1000,2876
17,2009,7,2,1000,3234
1,2010,0,2,12000,13475
2,2010,0,2,10000,12573
3,2010,0,2,9000,12997
4,2010,0,2,9000,14768
5,2010,0,2,8000,15189
6,2010,0,2,8000,13573
7,2010,0,2,6000,13097
8,2010,0,2,6000,12413
9,2010,0,2,6000,10863
10,2010,3,2,6000,11009
11,2010,6,2,5000,9718
12,2010,4,2,4000,8353
13,2010,8,2,4000,5829
14,2010,8,2,3000,4356
15,2010,13,2,2000,3451
16,2010,4,2,1000,2826
17,2010,12,2,1000,3435
1,2011,0,2,12000,13852
2,2011,0,2,10000,12511
3,2011,0,2,9000,12843
4,2011,0,2,9000,14683
5,2011,0,2,8000,15731
6,2011,0,2,8000,13775
7,2011,0,2,6000,13153
8,2011,1,2,6000,12810
9,2011,0,2,6000,11103
10,2011,3,2,6000,11028
11,2011,4,2,5000,9900
12,2011,6,2,4000,8642
13,2011,6,2,4000,6209
14,2011,11,2,3000,4474
15,2011,12,2,2000,3517
16,2011,5,2,1000,2791
17,2011,7,2,1000,3618
1,2012,0,2,12000,14047
2,2012,0,2,10000,12584
3,2012,0,2,9000,12714
4,2012,0,2,9000,14542
5,2012,0,2,8000,16186
6,2012,0,2,8000,14059
7,2012,0,2,6000,13272
8,2012,0,2,6000,13142
9,2012,0,2,6000,11451
10,2012,2,2,6000,10970
11,2012,1,2,5000,10123
12,2012,6,2,4000,8867
13,2012,6,2,4000,6607
14,2012,7,2,3000,4633
15,2012,5,2,2000,3577
16,2012,9,2,1000,2778
17,2012,11,2,1000,3774
1,2013,0,2,12000,14157
2,2013,0,2,10000,12778
3,2013,0,2,9000,12602
4,2013,0,2,9000,14372
5,2013,0,2,8000,16557
6,2013,0,2,8000,14543
7,2013,0,2,6000,13508
8,2013,0,2,6000,13400
9,2013,0,2,6000,11910
10,2013,2,2,6000,10905
11,2013,4,2,5000,10375
12,2013,10,2,4000,9037
13,2013,2,2,4000,7018
14,2013,14,2,3000,4819
15,2013,6,2,2000,3634
16,2013,8,2,1000,2792
17,2013,8,2,1000,3903
1,2014,0,2,12000,14183
2,2014,0,2,10000,13070
3,2014,0,2,9000,12491
4,2014,0,2,9000,14181
5,2014,0,2,8000,16871
6,2014,0,2,8000,15210
7,2014,0,2,6000,13840
8,2014,0,2,6000,13586
9,2014,0,2,6000,12471
10,2014,1,2,6000,10927
11,2014,1,2,5000,10589
12,2014,7,2,4000,9188
13,2014,7,2,4000,7446
14,2014,10,2,3000,5009
15,2014,6,2,2000,3698
16,2014,5,2,1000,2832
17,2014,14,2,1000,4013
1,2015,0,2,12000,14214
2,2015,0,2,10000,13405
3,2015,0,2,9000,12397
4,2015,0,2,9000,14009
5,2015,0,2,8000,16989
6,2015,0,2,8000,15885
7,2015,0,2,6000,14136
8,2015,0,2,6000,13713
9,2015,0,2,6000,12985
10,2015,3,2,6000,11053
11,2015,4,2,5000,10704
12,2015,3,2,4000,9324
13,2015,7,2,4000,7833
14,2015,11,2,3000,5252
15,2015,7,2,2000,3776
16,2015,11,2,1000,2878
17,2015,9,2,1000,4113
